Respondent_ID,Age,Gender,Market,Favorite_Brand,Purchase_Frequency,Occasion,Sustainability_Importance
36,37,Female,CA,Sierra Nevada Torpedo,Weekly,Event,3
37,28,Non-Binary,PA,Sierra Nevada Hazy IPA,Occasionally,Bar,2
38,26,Female,CA,Competitor IPA,Occasionally,At-Home,4
39,33,Non-Binary,TX,Competitor IPA,Weekly,At-Home,2
40,33,Non-Binary,NC,Competitor IPA,Weekly,At-Home,1
41,56,Female,NC,Competitor Lager,Occasionally,Event,5
42,42,Male,NC,Sierra Nevada Torpedo,Monthly,At-Home,2
43,61,Male,CO,Competitor Lager,Occasionally,At-Home,1
44,31,Male,CO,Competitor IPA,Occasionally,Event,5
45,50,Non-Binary,CO,Sierra Nevada Torpedo,Weekly,Event,3
46,54,Male,CA,Sierra Nevada Hazy IPA,Monthly,At-Home,2
47,62,Female,TX,Competitor IPA,Monthly,Event,4
48,37,Male,CO,Sierra Nevada Hazy IPA,Occasionally,At-Home,1
49,55,Female,PA,Competitor Lager,Occasionally,Event,4
50,28,Non-Binary,PA,Competitor IPA,Occasionally,Event,1
51,58,Non-Binary,CO,Competitor Lager,Monthly,Bar,5
52,36,Non-Binary,TX,Sierra Nevada Hazy IPA,Weekly,Bar,5
53,36,Male,CO,Sierra Nevada Hazy IPA,Occasionally,At-Home,4
54,32,Male,CO,Competitor IPA,Weekly,Bar,5
55,26,Non-Binary,CO,Sierra Nevada Pale Ale,Occasionally,Event,3
56,48,Male,TX,Sierra Nevada Hazy IPA,Monthly,At-Home,5
57,28,Female,TX,Sierra Nevada Torpedo,Monthly,Bar,4
58,51,Female,CA,Sierra Nevada Hazy IPA,Monthly,Bar,5
59,56,Non-Binary,TX,Sierra Nevada Hazy IPA,Monthly,Event,5
60,39,Female,CO,Competitor Lager,Weekly,At-Home,4
61,49,Male,CO,Competitor Lager,Weekly,Event,2
62,24,Male,PA,Competitor IPA,Monthly,Bar,5
63,37,Non-Binary,NC,Competitor IPA,Occasionally,Event,2
64,44,Female,TX,Competitor IPA,Monthly,At-Home,5
65,42,Non-Binary,CO,Competitor Lager,Monthly,Bar,2
66,46,Male,PA,Competitor IPA,Monthly,At-Home,1
67,41,Non-Binary,PA,Sierra Nevada Hazy IPA,Occasionally,At-Home,1
68,31,Male,CO,Sierra Nevada Torpedo,Monthly,Bar,4
69,62,Female,PA,Sierra Nevada Hazy IPA,Occasionally,At-Home,3
70,44,Non-Binary,TX,Competitor IPA,Monthly,Bar,3
71,31,Non-Binary,TX,Competitor IPA,Monthly,At-Home,2
72,62,Female,TX,Sierra Nevada Pale Ale,Monthly,Bar,1
73,58,Non-Binary,NC,Sierra Nevada Hazy IPA,Occasionally,Bar,3
74,64,Female,CA,Sierra Nevada Torpedo,Monthly,Bar,4
75,61,Female,CA,Competitor Lager,Monthly,Bar,3
76,33,Female,PA,Sierra Nevada Hazy IPA,Monthly,At-Home,5
77,45,Female,CO,Sierra Nevada Pale Ale,Occasionally,Bar,2
78,50,Non-Binary,NC,Sierra Nevada Torpedo,Monthly,Bar,4
79,37,Male,NC,Sierra Nevada Pale Ale,Monthly,At-Home,1
80,60,Male,NC,Sierra Nevada Pale Ale,Monthly,Event,5
81,59,Male,NC,Competitor IPA,Weekly,Bar,2
82,26,Male,TX,Competitor IPA,Monthly,At-Home,3
83,48,Female,NC,Sierra Nevada Torpedo,Weekly,Event,2
84,51,Female,NC,Competitor Lager,Occasionally,Event,3
85,59,Non-Binary,TX,Sierra Nevada Torpedo,Occasionally,Event,3
86,55,Non-Binary,NC,Sierra Nevada Hazy IPA,Occasionally,Bar,3
87,33,Male,CA,Competitor IPA,Weekly,At-Home,4
88,24,Female,CA,Sierra Nevada Torpedo,Monthly,Event,5
89,30,Male,CO,Competitor Lager,Weekly,At-Home,5
90,28,Non-Binary,NC,Competitor IPA,Occasionally,At-Home,3
91,56,Female,CO,Competitor Lager,Weekly,At-Home,5
92,55,Male,NC,Sierra Nevada Torpedo,Monthly,Bar,1
93,42,Male,PA,Sierra Nevada Torpedo,Monthly,Event,2
94,31,Female,CO,Competitor Lager,Monthly,Event,1
95,29,Female,CO,Sierra Nevada Hazy IPA,Monthly,Bar,3
96,40,Female,CA,Sierra Nevada Hazy IPA,Weekly,At-Home,2
97,56,Female,NC,Sierra Nevada Pale Ale,Monthly,Bar,1
98,45,Non-Binary,CO,Sierra Nevada Torpedo,Occasionally,At-Home,5
99,44,Female,CA,Competitor IPA,Weekly,Bar,4
100,31,Male,NC,Competitor IPA,Occasionally,Bar,5
